inci_name,function_inci,ph_min,ph_max,usage_level_min,usage_level_max
Glyceryl Tri-Hydrogenated Rosinate,,,,0.500,20.000
Glyceryl Triacetyl Ricinoleate,,,,0.500,20.000
Glycine Max Oil,,,,0.100,99.900
Glycine Soja Oil,,,,1.000,25.000
Eucalyptus Radiata Flower/Leaf/Stem Oil,,,,0.010,5.000
Glycine Soja Oil Unsaponifiables,,,,0.100,5.000
"Distillates (petroleum), light paraffinic",,,,1.000,30.000
Glycine Soja Sterols,,,,0.000,
Glycol Cetearate,,,,0.500,10.000
Glycol Dibehenate,,,,0.500,15.000
Glycol Ditallowate,,,,0.000,
Glycol Ethylhexanoate,,,,0.000,
Glycol Hydroxystearate,,,,0.500,10.000
Glycol Montanate,,,,0.500,10.000
Glycol Oleate,,,,0.000,
Glycol Ricinoleate,,,,0.100,20.000
Glycol Rosinate,,,,0.100,1.500
Glycol Tallate,,,,0.000,
Bis-Isobutyl PEG-13/Dimethicone Copolymer,,,,0.000,
Glyoxyloyl Carbocysteine,,,,0.000,
Bis-Hydroxyethoxypropyl Dimethicone/PEG-2 Soyamine/IPDI Copolymer,,,,0.000,
Goat Butter,,,,0.500,20.000
Goat Fat,,,,1.000,20.000
Gondoic Acid,,,,0.500,10.000
Gossypium Herbaceum,,,,0.100,5.000
Gossypium Herbaceum Seed Oil,,,,0.500,99.000
Gossypium Hirsutum Seed Oil,,,,0.100,20.000
Grasshopper Oil,,,,0.000,
Guaiacum Officinale Wood Oil,,,,0.010,1.000
Bis-PEG-1 Dimethicone/PPG-26/IPDI Copolymer,,,,0.000,
Bis-PEG/PPG-14/14 Dimethicone,,,,0.000,
Haematococcus Pluvialis Oil,,,,0.100,5.000
Bis-Isobutyl PEG-15/Amodimethicone Copolymer,,,,0.000,
Fusel Wheat Bran/Straw Glycosides,,,,1.000,10.000
Helianthus Annuus Hybrid Oil,,,,0.000,
Helianthus Annuus Seed,,,,0.100,100.000
Helianthus Annuus Seed Butter,,,,0.500,20.000
Helianthus Annuus Seed Flour,,,,0.500,10.000
Helianthus Annuus Seed Oil Unsaponifiables,,,,0.100,5.000
Helianthus Annuus Seedcake,,,,0.000,
Black Sugar Extract,moisturizer/humectant,,,0.000,
Disodium Sebacate,,,,0.000,
Bis-Vinyldimethicone/PEG-10 Dimethicone Crosspolymer,,,,0.000,
Glyceryl Undecyl Dimethicone,,,,0.500,10.000
Dilinoleic Acid,,,,0.000,
Helichrysum Angustifolium Wax,,,,0.500,5.000
Heptylundecanol,,,,1.000,10.000
Heptylundecyl Hydroxystearate,,,,1.000,10.000
Hexacosyl Glycol Isostearate,,,,0.100,15.000
Hexadecane,,,,0.100,10.000
Hexadecene,,,,1.000,10.000
Hexadecenoic Acid,,,,0.100,5.000
Hexadecyl Methicone,,,,1.000,20.000
Dihydrocholesteryl Nonanoate,,,,0.000,
Ethoxydiglycol Oleate,,,,0.500,10.000
Hexamethylene Bis-Hydroxystearamide,,,,0.500,10.000
Dicetyl Adipate,,,,0.000,
Hexanediol Beeswax,,,,1.000,10.000
Hexanediol Distearate,,,,0.500,10.000
Hexanetriol Beeswax,,,,0.000,
Hexyl Dimethicone,,,,1.000,20.000
Hexyl Dimethylolpropionate,,,,1.000,20.000
Hexyl Isostearate,,,,1.000,20.000
Hexyl Laurate,,,,0.500,25.000
Hexyl Methicone,,,,1.000,20.000
Hexyldecanoic Acid,,,,0.000,
Hexyldecanol,,,,0.100,25.000
Hexyldeceth-20,,,,0.500,5.000
Hexyldecyl Benzoate,,,,0.000,
Hexyldecyl Ethylhexanoate,,,,0.500,20.000
Hexyldecyl Isostearate,,,,1.000,15.000
Hexyldecyl Laurate,,,,1.000,15.000
Hexyldecyl Myristoyl Methylaminopropionate,,,,1.000,10.000
Hexyldecyl Oleate,,,,2.000,20.000
Hexyldecyl Stearate,,,,1.000,15.000
Hexyldecyloctadecanol,,,,0.500,20.000
Hexylglycerin,,,,0.100,1.500
Hibiscus Abelmoschus Seed Oil,,,,1.000,10.000
Hibiscus Syriacus Seed Oil,,,,0.500,10.000
Himanthalia Elongata Powder,,,,0.100,5.000
Hippophae Rhamnoides Seed Oil,,,,0.500,10.000
"Distillates (petroleum), sweetened middle",,,,0.000,
Honey Cocoates,,,,0.500,15.000
"Distillates (coal tar), upper",,,,0.000,
Hoplostethus Oil,,,,1.000,10.000
Hordeum Vulgare Powder,,,,0.500,20.000
Horse Fat,,,,0.500,20.000
"Hydrocarbons, C11-17, solvent-extd. light naphthenic",,,,0.000,
"Hydrocarbons, C14-29, solvent-extd. light naphthenic",,,,0.000,
Helianthus Annuus Seed Wax,,,,0.500,20.000
C10-12 Alkane/Cycloalkane,,,,0.000,
"Gas oils (petroleum), hydrodesulfurized, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen",,,,0.000,
Butyrospermum Parkii Seedcake Extract,skin protecting,,,0.100,3.000
C12-18 Alkanoyl Glycerin/Sebacic Acid Copolymer,,,,0.000,
C12-15 Alkane/Cycloalkane/Aromatic Hydrocarbons,,,,1.000,20.000
Acetylated Hydrogenated Tallow Glyceride,,,,0.000,
Acetylated Lanolin Ricinoleate,,,,0.000,
C9-10 Alkane/Cycloalkane,,,,0.000,
C8-10 Alkane/Cycloalkane/Aromatic Hydrocarbons,,,,0.000,
Davidsonia Jerseyana Seed Oil,"antioxidant, emollient, moisturizer/humectant",,,0.000,
4-Nitro-3-cresol; 4-Nitro-m-cresol,Colorant,,,,
"Adipic Acid/1,4-Butanediol/Terephthalate Copolymer",,,,0.000,
C9-16 Alkane/Cycloalkane,,,,0.000,
Diethylhexyl Terephthalate,,,,0.000,
Diethylene Glycol Rosinate,,,,0.000,
Dipentaerythrityl Hexacaprylate/Hexacaprate,,,,0.000,
Camelina Sativa Oleosomes/Camelina Sativa sr (Arabidopsis Thaliana Polypeptide-2 sh-Polypeptide-1),,,,0.000,
Casein Extract,"hair conditioning, skin conditioning",,,0.000,
"Extracts (petroleum), heavy naphthenic distillate solvent",,,,0.000,
Camellia Sinensis Seed Oil/Palm Oil Aminopropanediol Esters,,,,0.000,
Camellia Seed Oil/Hydrogenated Camellia Seed Oil Esters,,,,0.000,
Dioctyldodecyl Dodecanedioate,,,,0.000,
Caprylic/Capric Triglyceride PEG-4 Esters,,,,0.000,
Cetyl PEG/PPG-15/15 Butyl Ether Dimethicone,,,,0.000,
Cannabis Sativa Seed Extract,,,,0.000,
Capric/Lauric/Myristic/Oleic Triglyceride,,,,0.000,
Caprylic/Capric/Succinic Triglyceride,,,,0.000,
Capryloyl Glycerin/Sebacic Acid Copolymer,,,,0.000,
Caprylic/Capric/Palmitic/Stearic Triglyceride,,,,0.000,
"Foots oil (petroleum), carbon-treated",,,,0.000,
Castor/Olive Oil Esters,,,,1.000,20.000
"Distillates (petroleum), hydrotreated middle, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen",,,,0.000,
Dimethiconol Fluoroalcohol Dilinoleic Acid,,,,0.000,
Cereus Jamacaru Extract,,,,0.000,
Glyceryl Diisopalmitate,,,,1.000,10.000
Glyceryl Sesquioleate,,,,0.500,10.000
Hexamethylindanopyran,,,,0.000,
Cetyl Glyceryl Ether/Glycerin Copolymer,,,,0.000,
Cetyl Hexacosyl Dimethicone/Bis-Vinyldimethicone Crosspolymer,,,,0.000,
Cetyl PEG/PPG-10/1 Dimethicone,,,,0.500,5.000
Cetyl Dimethicone/Bis-Vinyldimethicone Crosspolymer,,,,0.000,
Cyclohexylethyl Acetate,,,,0.000,
Fragaria Vesca Seed Oil,,,,0.100,15.000
3(or 5)-[(4-((7-Amino-1-hydroxy-3-sulphonato-2-naphthyl)azo)-1-naphthyl)azo)salicylic acid and its salts,Colorant,,,,
Glyceryl Cocoate/Citrate/Lactate,,,,1.000,5.000
Glyceryl Behenate/Eicosadioate,Skin Conditioning Agent,,,0.500,15.000
Acetyl Triethyl Citrate,perfuming,,,0.000,
Decyl Isostearate,emollient,,,0.000,
Hippophae Rhamnoides Oil,,,,0.100,10.000
Arachidyl Propionate,emollient,,,0.000,
Hexacosyl Glycol,,,,0.000,
Bean Palmitate,,,,0.000,
Barklya Syringifolia Seed Oil,,,,0.000,
Diethylaminoethyl Cocoate,Hair Conditioning Agent,,,0.500,5.000
Diethylaminoethyl PEG-5 Cocoate,,,,0.000,
Diethylaminoethyl Stearate,,,,0.000,
Butyloctyl Benzoate,,,,0.500,20.000
Cupressus Lusitanica Branch/Leaf Oil,,,,0.000,
Bis-Hydroxyethoxypropyl Dimethicone,emollient,,,0.000,
Bis-Mercaptopropyl Dimethicone,,,,0.000,
"Bis-Ethoxydiglycol Cyclohexane 1,4-Dicarboxylate",,,,0.000,
Bis-PEG-8 Dimethicone,surfactant/cleansing,,,0.000,
Cymbopogon Citratus Leaf/Stem Oil,,,,0.000,
Brassicyl Isoleucinate Esylate,emulsion stabilising,,,0.000,
Defatted Rice Bran Extract,,,,0.100,5.000
Dextrin Palmitate/Ethylhexanoate,,,,0.000,
Butylene Carbonate,,,,0.100,10.000
Diglyceryl Sebacate/Isopalmitate,,,,0.000,
Butyl Isostearate,,,,0.000,
Diethylene Glycol/Dimer Dilinoleic Acid Copolymer,,,,0.000,
Dimethicone PEG/PPG-20/23 Benzoate,,,,0.000,
Butyloctanamide MEA,,,,0.000,
Digalactosyl Glyceryl Linoleate/Palmitate/Oleate,,,,1.000,5.000
C10-11 Aromatic Hydrocarbons,,,,0.000,
C10-13 Isoparaffin,solvent,,,1.000,50.000
Dimethicone/Bis-Isobutyl PPG-20 Crosspolymer,,,,0.000,
Dimethicone/Divinyldimethicone/Silsesquioxane Crosspolymer,,,,0.000,
Butyrolactone,solvent,,,0.000,
Dimethicone/PEG-10/15 Crosspolymer,,,,0.000,
Dimethicone PEG/PPG-12/4 Phosphate,,,,0.000,
Dipentaerythrityl Hexahydroxystearate/Hexastearate/Hexahydrogenated Rosinate,,,,0.500,30.000
C11-13 Alkane,"Emollient, Solvent, Hair Conditioning Agent",,,1.000,50.000
C30-45 Olefin,,,,0.000,
Dipentaerythrityl Hexaoctanoate/Hexabehenate,,,,0.000,
Dimethiconol/Silsesquioxane Copolymer,,,,0.000,
C12-14 Isoparaffin,Solvent,,,1.000,50.000
C18-38 Alkyl Hydroxystearoyl Stearate,,,,0.000,
Cucurbita Pepo Seed Oil,emollient,,,0.000,
Docosahexenoic/Docosapentenoic/Oleic/Palmitic Triglyceride,,,,0.500,5.000
C32-54 Isoalkanes,,,,0.000,
Ditrimethylolpropane Isostearate/Sebacate,,,,0.500,15.000
Hexyltrimethoxysilane,,,,0.000,
Egg Powder,,,,0.000,
Egg Oil,,,,0.500,10.000
Ethylene/Octene Copolymer,,,,0.100,5.000
Caprylyl Dimethicone Ethoxy Glucoside,,,,0.000,
Caprylyl Butyrate,Skin Conditioning,,,0.500,10.000
Dimethyl Behenamine,,,,0.000,
Ethylhexyl Caprylate/Caprate,,,,0.500,15.000
Cholesteryl Butyrate,skin conditioning,,,0.000,
Eucalyptus Radiata Leaf/Stem Oil,,,,0.010,1.000
Dimethyl Cocamine,,,,0.000,
Dimethicone PEG/PPG-7/4 Phosphate,,,,0.000,
Diethylene Glycol Diethylhexanoate/Diisononanoate,,,,0.000,
Dimethyl Diacetyl Cystinate,,,,1.000,10.000
Furcellaria Lumbricalis Extract,,,,0.100,5.000
Fructosyl Cocoate/Olivate,,,,1.000,7.000
Cetyl Hexacosyl Dimethicone,,,,0.000,
Cetoleth-6,Emulsifying Agent,,,0.500,5.000
Chenopodium Quinoa Seed Oil,,,,0.500,10.000
Cetyldimethylsiloxy Trimethylsiloxysilicate,"Film Former, Skin Conditioning Agent",,,1.000,10.000
Eucheuma Spinosum Extract,,,,0.100,5.000
Gelatin/Lysine/Polyacrylamide Hydroxypropyltrimonium Chloride,,,,0.100,3.000
Glyceryl Hydroxystearate,,,,1.000,10.000
Glycerin/Phthalic Acid Copolymer Castorate,,,,0.500,10.000
Glyceryl Abietate/Maleate,,,,0.500,10.000
Glyceryl Laurate/Oleate,,,,0.000,
Glyceryl Oleate/Elaidate,,,,0.500,10.000
Glyceryl/Polyglyceryl-6 Isostearate/Behenate Esters,,,,1.000,15.000
Glycol/Butylene Glycol Montanate,,,,0.500,10.000
Gossypium Herbaceum Extract,,,,0.100,5.000
C18-36 Acid,surfactant/cleansing,,,0.000,
"Distillates (petroleum), intermediate paraffinic, clay-treated",,,,0.000,
Bis-PEG-18 Methyl Ether Dimethyl Silane,"emollient, moisturizer/humectant, surfactant/cleansing",,,0.000,
Dextran Hydroxypropyltrimonium Chloride,Antistatic; Hair Conditioning; Skin Conditioning,,,0.000,
Bis Pyromellitate,,,,0.000,
Helichrysum Italicum Flower/Leaf/Stem Oil,,,,0.000,
Cocoyl Hydrolyzed Wool,,,,0.000,
Cetrimonium Dimethicone PEG-8 Olivate/Succinate,,,,0.000,
Cottonseed Acid,,,,0.000,
Calendula Officinalis Seed Oil,,,,0.000,
Caprylyl Pyrrolidone,,,,0.000,
Allanblackia Stuhlmannii Seed Butter,,,,0.000,
Behenyl Dimethicone,skin conditioning,,,0.000,
"Extracts (petroleum), heavy paraffinic distillates, solvent-deasphalted",,,,0.000,
C18-20 Glycol Isostearate,,,,0.000,
Ethyl Ricinoleate,,,,0.500,20.000
C14-18 Acid Glycol Ester,,,,0.000,
Brassica Oleracea Italica Seed Oil,emollient,,,0.000,
Di-C14-15 Alkyl Tartrate,,,,0.000,
Ethyl Isostearate,,,,1.000,15.000
Glyceryl Triacetyl Hydroxystearate,,,,0.000,
Solvent Orange 7,Colorant,,,,
Glycereth-20 Benzoate,,,,1.000,10.000
"Hydrocarbons, C12-20, hydrotreated paraffinic, distn. Lights",,,,0.100,50.000
C14-30 Alkyl Beeswax,,,,0.000,
C18-36 Acid Glycol Ester,"emollient, emulsifying, surfactant/cleansing",,,0.000,
Glyceryl Dimyristate,,,,0.500,15.000
Bertholletia Excelsa Seed Oil,emollient,,,0.000,
Di-C12-13 Alkyl Tartrate,emollient,,,0.000,
Glycine Soja Lipids,,,,0.100,10.000
Citrus Junos Seed Oil,emollient,,,0.000,
Dioleoylethyl Hydroxyethylmonium Methosulfate,,,,0.500,5.000
Cetearyl Stearate,"skin conditioning, skin protecting",,,0.000,
Ditrimethylolpropane Tetraisostearate,,,,0.500,20.000
Ethylhexyl Polyricinoleate,,,,0.500,15.000
Diisononyl Adipate,,,,0.500,15.000
Dimethyl Glutarate,,,,0.100,10.000
Carya Illinoinensis Seed Oil,skin conditioning,,,0.500,100.000
Ditallowamidoethyl Hydroxypropylamine,,,,0.000,0.100
Dihydrocholesterol,,,,0.000,
"Extracts (petroleum), light naphthenic distillate solvent, hydrodesulfurised",,,,0.000,
Di-C16-18 Alkyl Dimer Dilinoleate,"skin conditioning, skin conditioning - emollient",,,0.000,
Glycol Palmitate,,,,0.000,
"Distillates (petroleum), hydrotreated light paraffinic",,,,0.000,
C20-40 Alkyl Behenate,,,,1.000,10.000
Butyl Oleate,,,,0.500,10.000
"2,2'-(1,2-Ethenediyl)bis[5-((4-ethoxyphenyl)azo]benzenesulfonic acid)",Colorant,,,,
Glyceryl Olivate,,,,0.500,10.000
Dehydroacetic acid and its salts,,-1.00,,,
Glyceryl Arachidonate,,,,0.000,
Butylethylpropanediol Dimer Dilinoleate,,,,0.000,
Glyceryl Linolenate,,,,0.000,
Hexadecyleicosanoic Acid,,,,0.000,
Chitin,abrasive/scrub,,,0.000,
C12-15 Alkyl Lactate,emollient,,,0.500,5.000
Dimethyl Lauramine Oleate,,,,0.000,
Cetyl Stearate,emollient,,,1.000,10.000
"Distillates (petroleum), heavy naphthenic",,,,0.000,
Diisostearyl Glutarate,,,,0.000,
Helianthus Annuus Seed Oil,,,,1.000,70.000
Ethyl Perfluoroisobutyl Ether,,,,0.000,
"Gas oils (petroleum), heavy atmospheric",,,,0.000,
Dihydroxyethyl Soyamine Dioleate,,,,0.000,
Dimyristyl Tartrate,,,,1.000,10.000
Hibiscus Sabdariffa Seed Oil,,,,0.100,20.000
Cetyl Nicotinate Riboside Chloride,,,,0.000,
Canola Oil Unsaponifiables,,,,0.100,5.000
Dihydroxypropyltrimonium Chloride,,,,0.500,5.000
Hexyldecyl Ester of Hydrolyzed Collagen,,,,0.100,10.000
"Hydrocarbons, C13-27, solvent-extd. light naphthenic",,,,0.000,
Elaeis Oleifera Fruit Oil,,,,0.500,20.000
Cocodimonium hydroxypropyl Hydrolyzed Hair Keratin,,,,0.000,
"Extracts (petroleum), light paraffinic distillate solvent, hydrodesulfurised",,,,0.000,
"Distillates (petroleum), solvent-refined heavy naphthenic",,,,0.000,
Sunstone Powder,Colorant,,,,
Diisostearoyl Trimethylolpropane Siloxy Silicate,,,,0.000,
Synthetic Ruby,Colorant,,,,
Synthetic Sapphire,Colorant,,,,
Synthetic Moonstone Powder,Colorant,,,,
Dihydrocholesteryl Butyrate,Skin Conditioning - Emollient,,,0.000,
Diethylhexyl Succinate,Emollient,,,1.000,10.000
Dihydroabietyl Behenate,"Skin Conditioning Agent - Emollient, Viscosity Increasing Agent - Nonaqueous",,,1.000,10.000
Dihydroabietyl Methacrylate,,,,0.000,
Dihydroxyethyl Tallowamine Oleate,,,,0.000,
Dihydrocholesteryl Isostearate,Emollient,,,1.000,10.000
Diisopropyl Oxalate,,,,0.000,
Diisopropyl Sebacate,,,,0.000,
Diisostearoyl Polyglyceryl-3 Dimer Dilinoleate,,,,0.000,
Dilauryl Ether,,,,0.000,
Diisocetyl Adipate,,,,0.000,
Dimer Dilinoleyl Dimer Dilinoleate,,,,0.000,
Dimer Dilinoleyl Hydrogenated Rosinate,,,,0.000,
Dimethicone PEG-7 Isostearate,,,,0.100,5.000
Dimethicone PEG-7 Succinate,,,,0.000,
Dimethicone PEG-8 Beeswax,,,,0.000,
Dimethicone PEG-8 Benzoate,,,,0.000,
Dimethicone PEG-8 Succinate,,,,0.000,
Dimethyl Octynediol,,,,0.000,
Dimethyl Soyamine,,,,0.000,
Dipentaerythrityl Pentaisostearate,,,,0.000,
Dipropylheptyl Carbonate,,,,0.000,
Dilauroyl Trimethylolpropane Siloxy Silicate,,,,0.000,
Distearoyl Glycerophosphocholine,,,,0.100,5.000
Distearyl Citrate,,,,0.000,
Distearyldimonium Chloride,,,,0.000,
"Distillates (petroleum), heavy catalytic cracked",,,,0.000,
"Distillates (petroleum), hydrocracked solvent-refined, dewaxed",,,,0.000,
"Distillates (petroleum), petroleum residues vacuum",,,,0.000,
"Distillates (petroleum), solvent-dewaxed heavy paraffinic",,,,0.000,
"Distillates (petroleum), solvent-refined hydrotreated heavy, hydrogenated",,,,0.000,
Ditrimethylolpropane Tetrastearate,,,,1.000,15.000
Dipentaerythrityl Tri-Polyhydroxystearate,,,,0.000,
Disteareth-75 IPDI,,,,0.000,
Dodoxynol-5,,,,0.000,
Echium Plantagineum Seed Oil,,,,0.500,5.000
Elaeis Guineensis Kernel Oil,,,,0.100,99.000
Elaeis Guineensis Oil,,,,1.000,20.000
Elaeis Oleifera Shell Powder,,,,0.500,10.000
Eremophila Mitchellii Wood Oil,,,,0.000,
Eriocephalus Punctulatus Oil,,,,0.000,
Erucyl Arachidate,,,,1.000,10.000
Ethyl Arachidonate,,,,0.000,
Ethyl Laurate,,,,0.000,
Ethyl Linolenate,,,,0.500,10.000
Ethyl Olivate,,,,0.500,15.000
Ethyl Pyrrolidone,,,,0.000,
Dodecylhexadecanol,,,,0.500,10.000
Ethyl Wheat Germate,,,,0.000,
Ethylhexyl Acrylate,,,,0.000,
Ethylhexyl Coco-Oleate Estolide,,,,1.000,20.000
Ethylhexyl Linoleoyl Stearate,,,,0.100,15.000
Ethylhexyl Oleate Estolides,,,,0.500,20.000
Ethylhexylglyceryl Behenate,,,,0.500,10.000
Eugenia Caryophyllus Bud Oil,,,,0.000,
Euphorbia Cerifera Wax,,,,0.100,15.000
Euterpe Oleracea Fruit Oil,,,,0.500,20.000
Feruloyl Soy Glycerides,,,,0.500,5.000
Glycereth-12,,,,1.000,10.000
Glycereth-6 Triisostearate,,,,0.500,10.000
Ethyl Trimethylcyclopentene Butenol,,,,0.100,3.000
Glyceryl Cocoate,Skin-Conditioning Agent - Emollient,,,1.000,10.000
Glyceryl Arachidate,,,,1.000,10.000
Glyceryl Dilaurate,Skin conditioning,,,1.000,10.000
Glyceryl Dimethylsiloxanes,,,,0.100,10.000
Glyceryl Dipalmitoleate,,,,0.000,
Glyceryl Hydrogenated Soyate,,,,0.500,15.000
Glyceryl Linoleate,,,,0.000,
Glycine,,,,0.010,10.000
Glycol Diethylhexanoate,,,,0.500,15.000
Glycol Dioleate,,,,0.100,1.500
Glycol Dipivalate,,,,0.500,10.000
Glyceryl Allyl Ether,,,,0.000,
Gossypium Herbaceum Powder,,,,0.500,10.000
Heptyl Undecylenate,,,,1.000,20.000
Hexapropymate,,,,0.001,0.010
Hexyl Alcohol,,,,0.010,5.000
Hexyldecyl Hexyldecanoate,,,,0.500,10.000
Hexyldecyl Palmitate,,,,1.000,10.000
Hydroabietyl Alcohol,,,,0.100,5.000
Avocadamidopropyl Dimethylamine,,,,0.500,5.000
Bis-Hydroxypropyl Dimethicone/SMDI Copolymer,,,,0.000,
Benzyl Laurate/Myristate/Palmitate,,,,0.000,
Behenyl/Octyldodecyl Propanediol Citrate Crosspolymer,,,,0.500,5.000
Behenyl/Isostearyl Beeswax,,,,0.000,
Bis-Octyldodecyl Dimer Dilinoleate/Propanediol Copolymer,,,,0.000,
Bis-PEG/PPG-18/6 Dimethicone,,,,0.000,
Bis-Isobutyl PEG/PPG-20/35/Amodimethicone Copolymer,,,,0.000,
PEG-2 Cocamide,,-1.00,,,
Capryloyl/Capryloyl Leucine Isosorbide Esters,Skin Conditioning Agent,,,0.500,2.000
Carthamus Tinctorius Seedcake Extract,,,,0.000,
Cholesteryl/Octyldodecyl Lauroyl Glutamate,Skin Conditioning,,,1.000,10.000
Chondracanthus Tenellus/Saccharina Angustata/Ulva Linza Extract,,,,0.000,
Chondracanthus Tenellus Extract,Skin Conditioning Agent,,,0.000,
Diacetin,Solvent,,,0.000,10.000
Butyrospermum Parkii Butter Extract,"soothing, emollient",,,0.000,
Cotinus Coggygria Branch/Leaf Oil,,,,0.000,
"Tar, coal, high-temp.",Colorant,,,,
"Delmadinone acetate; Pregna-1,4,6-triene-3,20-dione, 17-(acetyloxy)-6-chloro-",,,,0.000,0.000
Aleurites Moluccanus Extract,,,,0.000,
Acetylenediurea/Formaldehyde/Tosylamide Crosspolymer,,,,0.000,
Glyceryl Diisostearate/Hydrogenated Rosinate,,,,0.500,30.000
Cholesteryl/Behenyl/Octyldodecyl Lauroyl Glutamate,,,,0.000,
Dipentaerythrityl Pentahydroxystearate/Pentaisostearate,,,,0.000,
Diglyceryl Adipate/Caprate/Caprylate/Hydroxystearate/Isostearate/Stearate,,,,1.000,10.000
Dimethicone/Phenyl Silsesquioxane/Phenyl Bis-Silsesquioxane Crosspolymer,,,,0.000,
Glyceryl Diisostearate,"Emollient, Skin Conditioning",,,1.000,10.000
Gelidium Cartilagineum Extract,,,,0.000,
Dimethicone/PPG-20 Crosspolymer,,,,0.000,
Tetraaminopyrimidine Sulfate,Colorant,,,,
Disodium Myristamido MEA-Sulfosuccinate,,-1.00,,,
Goat Milk Extract,,,,0.100,5.000
Gossypium Herbaceum Seedcake Extract,,,,0.100,5.000
Hordeum Vulgare Leaf/Stem Powder,,,,0.100,5.000
Artemisia Argyi Leaf Oil,fragrance,,,,
Artemisia Herba-Alba Oil,masking,,,,
Artemisia Vulgaris Oil,perfuming,,,,
Barosma Betulina Leaf Oil,perfuming,,,,
Boswellia Carterii Gum Oil,perfuming,,,,
Boswellia Neglecta Resin Oil,emollient,,,,
Boswellia Sacra Resin Oil,"emollient, perfuming",,,,
Centella Asiatica Oil,"antioxidant, antimicrobial/antibacterial, moisturizer/humectant",,,,
Carum Carvi Fruit Oil,perfuming,,,,
Chamomilla Recutita Flower Oil,soothing,,,,
Cinnamomum Camphora Bark Oil,"masking, skin conditioning, tonic",,,,
Citrus Australasica Seed Oil,"antioxidant, moisturizer/humectant",,,,
Citrus Grandis Seed Oil,"emollient, perfuming",,,,
Cupressus Sempervirens Leaf Oil,perfuming,,,,
Curcuma Aromatica Root Oil,skin conditioning,,,,
Curcuma Zedoaria Root Oil,perfuming,,,,
Black Sea Rod Oil,skin conditioning,,,,
"Diacetylmorphine Hydrochloride; O,O'-diacetylmorphine hydrochloride; Morphinan-3,6-diol, 7,8-didehydro-4,5-epoxy-17-methyl-(5alpha,6alpha)-,diacetate (ester), hydrochloride",,,,0.000,
Acetone,solvent,,,,
Aphanizomenon Flos-Aquae Powder,"emollient, surfactant/cleansing",,,,
Dibehenyl/Diarachidyl Dimonium Chloride,,,,0.000,
Dibutyl Oxalate,,,,0.000,
Dextran Sulfate,"binding, skin conditioning",,,,
"Tetrasodium 6-amino-4-hydroxy-3-[[7-sulphonato-4-[(4-sulphonatophenyl)azo]-1-naphthyl]azo]naphthalene-2,7-disulphonate (Food Black 2; CI 27755)",Colorant,,,,
Allantoin Glycyrrhetinic Acid,soothing,,,,
Aloe Barbadensis Leaf Powder,skin conditioning,,,,
Aloesin,skin conditioning,,,,
Ascorbyl Propyl Hyaluronate,skin conditioning,,,,
Di-C14-18 Alkyl Dimonium Chloride,,,,0.000,
"4-methyl-6-(phenylazo)-1,3-Benzenediamine and its salts",Colorant,,,,
Arbutin,Skin Conditioning Agent,3.50,6.50,2.000,7.000
Tranexamic Acid,Skin Conditioning Agent,5.00,7.00,0.500,3.000
Kojic Acid,Skin Conditioning Agent,3.00,6.00,1.000,4.000
Bentonite,Absorbent,8.00,10.00,0.500,20.000
Sodium Grapeseedamphoacetate,,-1.00,,,
Oryza Sativa (Rice) Starch,Absorbent,4.50,7.50,1.000,20.000
Adenosine Cyclic Phosphate,skin conditioning,,,,
Adenosine Phosphate,skin conditioning,,,,
Buddleja Davidii Meristem Cell Culture,"antioxidant, soothing",,,,
Coenzyme A,skin conditioning,,,,
Daucus Carota Sativa Root Cell Culture Lysate,skin conditioning,,,,
5-Nitro-o-toluidine and 5-Nitro-o-toluidine hydrochloride,Colorant,,,,
Azelaic Acid,"anti-acne, soothing, buffering",,,,
2-Amino-4-Hydroxyethylaminoanisole Sulfate,hair dyeing,,,,
Boswellia Serrata Gum,perfuming,,,,
Caffeine Benzoate,,,,0.000,
Acetyl Glutamine,skin conditioning,,,0.000,
Acetyl Glycyl Beta-Alanine,skin brightening,,,0.000,
Acetylcholine,,,,0.000,
Acetyl Tyrosinamide,skin conditioning,,,0.000,
Acetyl Tyrosine,"skin conditioning, tanning",,,0.000,
"Acetyl-alpha-methylfentanyl; Acetamide, N-(1-(1-methyl-2-phenylethyl)-4-piperidinyl)-N-phenyl-",,,,0.000,
Acetylcholine iodide,,,,0.000,
Acetylene Chlorides,,,,0.000,
Acetylmethadol,,,,0.000,
Di-t-Butyl Hydroxyphenylamino Bisoctylthiotriazine,antioxidant,-1.00,,,
Fenoxazoline hydrochloride; 2-(2-Isopropylphenoxymethyl)-2-imidazoline hydrochloride,,,,0.000,
Cobalt Acetylmethionate,,,,0.000,
Diacetylmorphine Hydrochloride,,,,0.000,
Dichloroethylenes (acetylene chlorides),,,,0.000,
Diethyl Caprylamide,,,,0.500,10.000
PEG-3 Cocamide DEA,,-1.00,,,
Glucose Oxidase,,-1.00,,,
"4-Piperidinol, 2,2,6-trimethyl-, benzoate (ester); Eucaine",,,,0.000,
Acetyl Galactosamine,,,,0.000,
Acetyl Glucosamine,"skin-identical ingredient, skin brightening",,,0.000,
Aluminum Sulfate,"astringent, deodorant",-1.00,,,
Ferric Sulfate,,-1.00,,,
Amezinium Metilsulfate,,-1.00,,,
